route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,24EILUA_0107,24EILUA_0107_3,GONZALEZ TREVILLA,0,,Route_380
1,24EILUA_0107,24EILUA_0107_4,PCTCAN-UNEATLANTICO,1,,Route_372
1,24EILUA_0107,24EILUA_0107_5,GONZALEZ TREVILLA,0,,Route_380
1,24EILUA_0107,24EILUA_0107_6,PCTCAN-UNEATLANTICO,1,,Route_372
1,24EILUA_0107,24EILUA_0107_7,GONZALEZ TREVILLA,0,,Route_380
1,24EILUA_0107,24EILUA_0107_8,PCTCAN-UNEATLANTICO,1,,Route_372
241,24242ILA_24201,24242ILA_24201_2,PCTCAN POR TUNEL TETUAN,0,,Route_363
242,24242ILA_24201,24242ILA_24201_3,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_4,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_5,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_6,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_7,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_8,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_9,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_10,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_11,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24201,24242ILA_24201_12,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_2,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_3,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_4,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_5,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_6,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_7,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_8,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_9,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_10,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_11,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24202,24242ILA_24202_12,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_2,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_3,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_4,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_5,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_6,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_7,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_8,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_9,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_10,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_11,PCTCAN POR TUNEL TETUAN,0,,Route_391
242,24242ILA_24203,24242ILA_24203_12,PCTCAN POR TUNEL TETUAN,0,,Route_391
41,24EILUA_R01,24EILUA_R01_2,INTERCAMBIADOR SARDINERO,0,,Route_344
41,24EILUA_R01,24EILUA_R01_3,INTERCAMBIADOR VALDECILLA,1,,Route_345
3,24EILUA_R01,24EILUA_R01_4,PASEO DE PEREDA 35,0,,Route_383
3,24EILUA_R01,24EILUA_R01_5,OJAIZ,1,,Route_11
3,24EILUA_R01,24EILUA_R01_6,PASEO DE PEREDA 35,0,,Route_383
3,24EILUA_R01,24EILUA_R01_7,OJAIZ,1,,Route_11
3,24EILUA_R01,24EILUA_R01_8,RECTORADO,0,,Route_384
61,24EILUA_R01,24EILUA_R01_9,COMPLEJO DEPORTIVO,0,,Route_366
62,24EILUA_R01,24EILUA_R01_10,COMPLEJO RUTH BEITIA,0,,Route_367
1,24EILUA_R02,24EILUA_R02_2,GONZALEZ TREVILLA,0,,Route_380
1,24EILUA_R02,24EILUA_R02_3,PCTCAN-UNEATLANTICO,1,,Route_372
100,24EILUA_R02,24EILUA_R02_4,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILUA_R02,24EILUA_R02_5,INTERCAMBIADOR SARDINERO,0,,Route_394
100,24EILUA_R02,24EILUA_R02_6,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILUA_R02,24EILUA_R02_7,INTERCAMBIADOR SARDINERO,0,,Route_394
42,24EILUA_R02,24EILUA_R02_8,ESTACIONES,1,,Route_245
42,24EILUA_R02,24EILUA_R02_9,ESTACIONES,1,,Route_245
42,24EILUA_R02,24EILUA_R02_10,ESTACIONES,1,,Route_245
42,24EILUA_R02,24EILUA_R02_11,ESTACIONES,1,,Route_245
2,24EILUA_R02,24EILUA_R02_12,CONSUELO BERGES,0,,Route_382
2,24EILUA_R02,24EILUA_R02_13,CORBAN,1,,Route_180
71,24EILUA_R03,24EILUA_R03_2,L.QUINTANILLA,0,,Route_195
12,24EILUA_R03,24EILUA_R03_3,CARREFOUR,0,,Route_388
12,24EILUA_R03,24EILUA_R03_4,CARREFOUR,0,,Route_388
51,24EILUA_R04,24EILUA_R04_2,MIRANDA,0,,Route_189
52,24EILUA_R04,24EILUA_R04_3,MIRANDA,0,,Route_191
